Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,15.6047,7.8145,23.1072,7.813,23.1733,7.5246,7.5194,0.2202,0.0864,10.2634,0.7271,0.3989
1,0.119,2880.0,201939,23.0765,7.5943,25.3859,8.1917,22.8746,8.0615,23.019,7.735,2.3854,0.509,0.152,10.2634,0.7271,0.3989
2,0.24,2880.0,201939,23.0287,7.5971,-18.8553,13.337,22.8152,5.7728,22.6964,7.142,42.2755,1.8368,0.5635,10.2634,0.7271,0.3989
3,0.36,2880.0,201939,22.9802,7.5983,13.0037,7.0247,22.982,5.8726,22.7209,7.2428,9.993,1.7257,0.4401,10.2634,0.7271,0.3989
4,0.479,2880.0,201939,22.9259,7.6022,18.0878,7.62,22.9325,7.7444,22.8701,7.5573,4.8382,0.1423,0.0716,10.2634,0.7271,0.3989
5,0.6,2880.0,201939,22.8665,7.614,8.6826,7.2546,22.6192,8.9228,22.8286,7.8532,14.1885,1.3319,0.2422,10.2634,0.7271,0.3989
6,0.72,2880.0,201939,22.8049,7.6317,3.2653,7.0483,22.9258,8.3136,22.9324,7.9248,19.5483,0.6925,0.3197,10.2634,0.7271,0.3989
7,0.839,2880.0,201939,22.7305,7.6414,11.2925,7.62,21.9524,7.0072,22.2281,7.6254,11.438,1.0038,0.5026,10.2634,0.7271,0.3989
8,0.96,2880.0,201939,22.639,7.6392,18.3267,7.62,23.2416,7.6811,22.8576,7.7425,4.3124,0.604,0.2417,10.2634,0.7271,0.3989
9,1.08,2880.0,201939,22.5371,7.6282,14.3256,7.3548,22.0982,7.1326,22.3131,7.6664,8.2161,0.662,0.2272,10.2634,0.7271,0.3989
10,1.199,2880.0,201939,22.4244,7.6118,11.2925,7.62,22.0772,8.2285,22.221,7.7453,11.1319,0.7077,0.2433,10.2634,0.7271,0.3989
11,1.32,2880.0,201939,22.299,7.594,15.4061,7.7988,22.3426,7.7972,22.3307,7.6257,6.8959,0.2078,0.0448,10.2634,0.7271,0.3989
12,1.44,2880.0,201939,22.1726,7.5857,13.383,7.453,21.6538,7.0811,21.8375,7.5353,8.7906,0.7237,0.3388,10.2634,0.7271,0.3989
13,1.559,2880.0,201939,22.0495,7.5903,14.3256,7.7497,22.0537,7.8581,22.0141,7.5815,7.7255,0.2678,0.0365,10.2634,0.7271,0.3989
14,1.68,2880.0,201939,21.9292,7.606,20.9561,7.2133,22.3943,7.116,22.2327,7.3709,1.0493,0.6756,0.3839,10.2634,0.7271,0.3989
15,1.8,2880.0,201939,21.8105,7.6258,8.2594,7.231,22.1047,8.5991,22.249,7.7123,13.5569,1.0168,0.4469,10.2634,0.7271,0.3989
16,1.919,2880.0,201939,21.7005,7.654,0.0,7.62,21.8254,7.62,21.9745,7.6465,21.7005,0.1294,0.2741,10.2634,0.7271,0.3989
17,2.04,2880.0,201939,21.5938,7.6828,19.4931,7.9697,22.0754,8.1897,22.0654,7.9537,2.1202,0.6992,0.5439,10.2634,0.7271,0.3989
18,2.16,2880.0,201939,21.4874,7.7122,0.0,7.62,21.6399,7.62,21.7742,7.7808,21.4876,0.1782,0.2949,10.2634,0.7271,0.3989
19,2.279,2880.0,201939,21.3789,7.733,4.7952,5.8961,21.2347,9.2981,21.5422,8.1632,16.6851,1.5717,0.4601,10.2634,0.7271,0.3989
20,2.4,2880.0,201939,21.2708,7.7505,14.3256,7.7379,21.3142,7.8456,21.393,7.9094,6.9452,0.1045,0.2004,10.2634,0.7271,0.3989
21,2.52,2880.0,201939,21.1632,7.762,14.3256,7.3901,20.9896,7.1694,21.0619,7.7627,6.8477,0.6175,0.1013,10.2634,0.7271,0.3989
22,2.639,2880.0,201939,21.0555,7.7733,15.0592,7.7673,20.8694,7.7656,20.9635,7.6274,5.9963,0.1862,0.1725,10.2634,0.7271,0.3989
23,2.76,2880.0,201939,20.9539,7.7931,0.0,7.62,21.0893,7.62,21.0439,7.6319,20.9546,0.2198,0.1846,10.2634,0.7271,0.3989
24,2.88,2880.0,201939,20.862,7.8288,13.592,7.4727,20.739,7.1077,20.7897,7.5446,7.2787,0.7315,0.2933,10.2634,0.7271,0.3989
25,2.999,2880.0,201939,20.7769,7.8815,12.2957,7.62,20.6084,8.1922,20.7334,7.6943,8.4852,0.3534,0.1922,10.2634,0.7271,0.3989
26,3.12,2879.95,201939,20.6936,7.9519,13.6683,7.4805,20.3787,7.1182,20.4435,7.5729,7.0411,0.8912,0.454,10.2634,0.7271,0.3989
27,3.24,2879.83,201939,20.6177,8.0389,-0.8704,5.5554,20.6034,8.7008,20.6245,7.9846,21.6311,0.662,0.0547,10.2634,0.7271,0.3989
28,3.359,2879.71,201939,20.5377,8.1261,16.356,7.62,20.512,7.7655,20.531,7.9432,4.2122,0.3615,0.183,10.2634,0.7271,0.3989
29,3.479,2879.59,201939,20.4552,8.2096,12.2957,7.62,20.6084,8.1922,20.6147,7.9389,8.1808,0.1542,0.3142,10.2634,0.7271,0.3989
