Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,23.3102,7.62,23.1456,7.6008,23.1665,7.5846,0.1913,0.026,0.0465,0.2063,0.1202,0.1951
1,0.119,2880.0,201939,23.0765,7.5943,23.1777,7.62,23.0596,7.5593,23.1066,7.5393,0.1045,0.0388,0.0627,0.2063,0.1202,0.1951
2,0.24,2880.0,201939,23.0287,7.5971,23.063,7.62,22.9552,7.6069,23.018,7.5658,0.0412,0.0742,0.0331,0.2063,0.1202,0.1951
3,0.36,2880.0,201939,22.9802,7.5983,22.8938,7.62,22.9798,7.5748,22.9949,7.5605,0.0891,0.0236,0.0406,0.2063,0.1202,0.1951
4,0.479,2880.0,201939,22.9259,7.6022,22.7401,7.62,22.9788,7.6505,22.9849,7.6139,0.1867,0.0717,0.0602,0.2063,0.1202,0.1951
5,0.6,2880.0,201939,22.8665,7.614,22.8228,7.62,22.766,7.6129,22.8487,7.6009,0.0441,0.1005,0.0221,0.2063,0.1202,0.1951
6,0.72,2880.0,201939,22.8049,7.6317,22.8228,7.62,22.766,7.6129,22.7986,7.6017,0.0214,0.0433,0.0306,0.2063,0.1202,0.1951
7,0.839,2880.0,201939,22.7305,7.6414,22.8228,7.62,22.766,7.6129,22.78,7.6047,0.0947,0.0455,0.0616,0.2063,0.1202,0.1951
8,0.96,2880.0,201939,22.639,7.6392,22.8228,7.62,22.766,7.6129,22.7729,7.607,0.1848,0.1297,0.1377,0.2063,0.1202,0.1951
9,1.08,2880.0,201939,22.5371,7.6282,22.3587,7.62,22.3908,7.6244,22.5314,7.5975,0.1785,0.1463,0.0312,0.2063,0.1202,0.1951
10,1.199,2880.0,201939,22.4244,7.6118,22.3587,7.62,22.3908,7.6244,22.443,7.6057,0.0662,0.0358,0.0196,0.2063,0.1202,0.1951
11,1.32,2880.0,201939,22.299,7.594,22.3587,7.62,22.3908,7.6244,22.4103,7.6141,0.0652,0.0967,0.1131,0.2063,0.1202,0.1951
12,1.44,2880.0,201939,22.1726,7.5857,22.2673,7.62,22.2054,7.5573,22.281,7.5579,0.1007,0.0434,0.1119,0.2063,0.1202,0.1951
13,1.559,2880.0,201939,22.0495,7.5903,21.915,7.62,22.0198,7.6354,22.117,7.5901,0.1377,0.054,0.0675,0.2063,0.1202,0.1951
14,1.68,2880.0,201939,21.9292,7.606,21.9396,7.62,21.8152,7.6019,21.9267,7.5754,0.0174,0.1141,0.0307,0.2063,0.1202,0.1951
15,1.8,2880.0,201939,21.8105,7.6258,21.9396,7.62,21.8152,7.6019,21.8588,7.5787,0.1292,0.0243,0.0675,0.2063,0.1202,0.1951
16,1.919,2880.0,201939,21.7005,7.654,21.6997,7.62,21.8357,7.6407,21.846,7.6172,0.034,0.1359,0.1501,0.2063,0.1202,0.1951
17,2.04,2880.0,201939,21.5938,7.6828,21.4885,7.62,21.4524,7.6144,21.5931,7.5925,0.1226,0.1571,0.0903,0.2063,0.1202,0.1951
18,2.16,2880.0,201939,21.4874,7.7122,21.4885,7.62,21.4524,7.6144,21.504,7.5949,0.0922,0.1039,0.1185,0.2063,0.1202,0.1951
19,2.279,2880.0,201939,21.3789,7.733,21.3809,7.62,21.4502,7.6817,21.4709,7.6597,0.113,0.0878,0.1177,0.2063,0.1202,0.1951
20,2.4,2880.0,201939,21.2708,7.7505,21.2698,8.0642,21.3003,7.9493,21.3827,7.77,0.3137,0.201,0.1136,0.2063,0.1202,0.1951
21,2.52,2880.0,201939,21.1632,7.762,21.2559,7.62,21.1476,7.7051,21.2234,7.7486,0.1696,0.059,0.0617,0.2063,0.1202,0.1951
22,2.639,2880.0,201939,21.0555,7.7733,21.0553,7.62,21.0925,7.6263,21.1318,7.6775,0.1533,0.1516,0.1225,0.2063,0.1202,0.1951
23,2.76,2880.0,201939,20.9539,7.7931,20.8449,8.0544,20.9411,7.9564,21.0297,7.7877,0.2832,0.1638,0.076,0.2063,0.1202,0.1951
24,2.88,2880.0,201939,20.862,7.8288,20.8213,7.62,20.7913,7.7174,20.8659,7.7667,0.2127,0.132,0.0622,0.2063,0.1202,0.1951
25,2.999,2880.0,201939,20.7769,7.8815,20.8213,7.62,20.7913,7.7174,20.8096,7.766,0.2652,0.1648,0.12,0.2063,0.1202,0.1951
26,3.12,2879.95,201939,20.6936,7.9519,20.6167,8.0517,20.6411,8.0461,20.7164,7.9066,0.126,0.1079,0.0507,0.2063,0.1202,0.1951
27,3.24,2879.83,201939,20.6177,8.0389,20.6167,8.0517,20.6411,8.0461,20.6761,7.9759,0.0128,0.0245,0.0859,0.2063,0.1202,0.1951
28,3.359,2879.71,201939,20.5377,8.1261,20.6167,8.0517,20.6411,8.0461,20.6582,8.0098,0.1085,0.1307,0.1675,0.2063,0.1202,0.1951
