Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,2880.0,201939,23.1208,7.5932,22.2162,8.5114,23.3049,8.0087,23.2198,7.7188,1.289,0.4544,0.1599,1.0449,0.6266,0.3642
1,0.119,2880.0,201939,23.0765,7.5943,22.533,6.714,23.312,7.1242,23.2172,7.565,1.0346,0.5258,0.1437,1.0449,0.6266,0.3642
2,0.24,2880.0,201939,23.0287,7.5971,22.7496,8.0922,22.8312,7.7392,23.0076,7.5557,0.5684,0.2433,0.0465,1.0449,0.6266,0.3642
3,0.36,2880.0,201939,22.9802,7.5983,23.0525,7.62,22.978,7.4967,22.9931,7.5015,0.0755,0.1016,0.0977,1.0449,0.6266,0.3642
4,0.479,2880.0,201939,22.9259,7.6022,22.8385,8.0971,22.7113,7.8387,22.8512,7.5851,0.5025,0.3193,0.0766,1.0449,0.6266,0.3642
5,0.6,2880.0,201939,22.8665,7.614,22.8756,5.7059,22.5164,6.3165,22.5311,7.1327,1.9082,1.3439,0.5866,1.0449,0.6266,0.3642
6,0.72,2880.0,201939,22.8049,7.6317,22.9198,8.0908,23.2195,7.9034,23.0151,7.4954,0.4733,0.4957,0.2505,1.0449,0.6266,0.3642
7,0.839,2880.0,201939,22.7305,7.6414,22.1822,8.0639,23.1862,8.1081,23.1693,7.8843,0.6922,0.6523,0.5016,1.0449,0.6266,0.3642
8,0.96,2880.0,201939,22.639,7.6392,22.1164,9.4329,22.7658,8.5931,23.0185,7.9148,1.8683,0.9623,0.469,1.0449,0.6266,0.3642
9,1.08,2880.0,201939,22.5371,7.6282,22.0982,6.2716,22.4919,6.8036,22.5868,7.49,1.4258,0.8258,0.1469,1.0449,0.6266,0.3642
10,1.199,2880.0,201939,22.4244,7.6118,22.6553,7.62,22.099,7.665,22.3179,7.5483,0.231,0.3297,0.124,1.0449,0.6266,0.3642
11,1.32,2880.0,201939,22.299,7.594,22.2481,6.6798,21.8273,7.1694,21.9761,7.4935,0.9156,0.6347,0.3382,1.0449,0.6266,0.3642
