Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY
0,0.0,0.1524,1.3716,-1.0362,0.3181,0.6331,1.0714,0.0846,1.4716
1,0.319,0.1524,1.3716,0.8233,2.0566,0.3723,1.6914,0.2489,1.6516
2,0.6368,0.4572,1.3716,0.6747,1.5076,0.3052,1.2503,0.2152,1.346
3,1.0033,0.762,1.3716,1.466,1.8829,0.8229,1.5238,0.6479,1.5704
4,1.3188,1.0668,1.3716,0.9003,0.9881,1.3432,1.3014,1.0766,1.5984
5,1.6532,1.3716,1.3716,0.9043,0.8232,1.5304,1.2134,1.2911,1.5111
6,1.9382,1.6764,1.3716,1.3242,0.7389,1.8,0.7474,1.4863,1.3436
7,2.222,1.9812,1.3716,3.3108,2.0594,2.1564,1.2908,2.0674,1.3508
8,2.5595,2.286,1.3716,2.5895,1.4192,2.5046,1.2997,2.3727,1.3977
9,2.8788,2.286,1.3716,0.9583,0.3235,2.4272,1.3192,2.4036,1.4641
10,3.1953,2.5908,1.3716,3.3186,2.2328,2.3576,1.427,2.3235,1.4029
11,3.481,2.5908,1.3716,2.9117,1.0038,2.8983,0.9242,2.6348,1.2634
12,3.7842,2.8956,1.3716,0.0495,-0.9125,3.262,1.259,3.016,1.5375
13,4.0691,3.2004,1.3716,2.8221,1.3435,2.7179,1.2774,2.8288,1.3475
14,4.3846,3.2004,1.3716,2.7059,0.5155,3.3403,0.9962,3.1014,1.2765
15,4.6866,3.5052,1.6764,2.3001,0.3799,3.7881,1.3979,3.5548,1.5285
16,4.9763,3.81,1.9812,4.8768,3.1834,3.6838,2.3056,3.8918,1.8806
17,5.3303,4.1148,1.9812,4.5043,2.6681,3.9423,2.3252,3.9874,2.0896
18,5.6485,4.4196,1.9812,3.8646,1.685,4.4958,1.8568,4.3238,2.142
19,5.9636,4.7244,1.9812,4.2102,1.8191,4.2917,1.785,4.2688,1.9772
20,6.2846,4.7244,1.9812,5.6455,2.4598,4.6162,1.8313,4.5627,1.836
21,6.5798,5.0292,1.9812,5.1661,2.5953,4.8822,2.4676,4.9113,2.1589
22,6.9537,5.334,2.286,5.9655,2.9072,5.3796,2.2122,5.3507,2.2119
23,7.239,5.6388,2.286,4.7778,2.2212,5.4122,2.6724,5.3987,2.4807
24,7.5231,5.6388,2.5908,6.0365,3.2949,5.2043,2.9984,5.3604,2.6307
25,7.9087,6.2484,2.5908,5.5543,1.8132,6.273,2.2342,5.9104,2.657
26,8.229,6.2484,2.5908,6.1446,1.7399,6.2017,2.011,6.0395,2.339
27,8.6463,6.5532,2.8956,6.651,2.4812,6.7007,2.5141,6.5548,2.4995
28,8.9294,6.5532,3.2004,6.2314,2.4476,6.7996,2.8199,6.6831,2.7194
29,9.2168,6.858,3.5052,6.609,3.5993,6.7659,3.6427,6.8343,3.2878
30,9.5662,6.858,3.5052,6.5859,3.7479,6.5696,3.6712,6.6788,3.4329
31,9.853,7.1628,3.5052,7.2019,3.8007,6.745,3.702,6.8416,3.4314
32,10.169,7.4676,3.81,7.4503,3.1668,7.4861,3.6809,7.3593,3.5539
33,10.5178,7.4676,3.81,7.9219,4.3271,7.807,3.8567,7.7296,3.7197
34,10.8912,7.4676,4.1148,7.1865,4.1298,7.2259,4.2809,7.4205,4.002
35,11.1772,7.4676,4.4196,7.9224,5.0502,7.7435,4.4143,7.7353,4.3115
36,11.5484,7.7724,4.7244,7.5732,4.2106,7.9759,4.5617,7.8491,4.4953
37,11.8323,8.0772,4.7244,8.3141,4.6834,8.2891,4.7729,8.2167,4.6975
