Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY
0,0.0,0.1524,1.3716,-3.0741,0.1679,-0.2268,0.1478,-0.6347,0.8967
1,0.464,1.0668,1.3716,2.1925,3.1956,0.5426,1.633,-0.5693,1.8445
2,0.7495,1.0668,1.3716,1.606,1.3206,1.4042,0.8038,0.3043,1.8107
3,1.0886,1.3716,1.3716,2.9589,3.258,1.3899,1.7592,0.9413,2.0193
4,1.376,1.6764,1.3716,1.8594,0.3449,2.4353,0.4848,1.8757,1.7476
5,1.6613,1.9812,1.3716,0.6591,-1.1321,2.1858,-0.2818,1.8084,1.0906
6,1.9639,2.286,1.3716,2.9627,0.5763,3.2932,0.4223,2.8827,1.1537
7,2.2844,2.286,1.3716,2.255,1.7922,2.1185,1.6398,2.5175,1.3279
8,2.577,2.5908,1.3716,4.0163,3.3244,2.9138,2.3809,3.1171,1.972
9,2.8638,2.8956,1.3716,2.5188,1.1853,2.8252,1.068,2.7389,1.5842
10,3.2081,3.2004,1.3716,3.3409,0.559,3.2094,0.3727,2.9714,1.1193
11,3.4936,3.2004,1.3716,4.2583,1.9741,2.9299,0.4896,3.0636,0.8904
12,3.811,3.5052,1.3716,4.214,3.2268,3.6595,3.0164,3.9305,1.9643
13,4.2562,4.1148,1.6764,5.4356,2.1895,4.5904,1.1967,4.4436,1.7261
14,4.5426,4.1148,1.6764,1.2534,0.3293,4.4754,1.9197,4.3755,2.0774
15,4.8607,4.4196,1.9812,6.3642,4.4257,3.8481,3.1822,4.4083,2.2974
16,5.1488,4.7244,1.9812,6.1366,4.6039,4.6094,2.0257,4.6956,2.3888
17,5.4666,4.7244,1.9812,6.0735,3.181,4.992,2.0421,4.666,2.29
18,5.8195,5.0292,1.9812,3.9063,1.858,5.3753,2.2202,5.0876,2.5588
19,6.2348,5.6388,2.286,3.8259,1.0205,5.9836,2.4196,5.5142,2.7999
20,6.5534,5.6388,2.286,6.888,5.5608,5.8108,2.623,5.7383,2.9496
21,7.0132,5.9436,2.5908,5.5643,2.9695,6.0033,3.17,5.8915,3.1916
22,7.3344,6.2484,2.5908,3.6917,2.2571,6.6105,3.2701,6.1326,3.5589
23,7.6235,6.5532,2.8956,6.1578,3.3905,6.7215,3.2229,6.4421,3.6859
24,7.9287,6.858,3.2004,6.4166,2.8776,7.2077,3.3767,6.8214,3.7409
25,8.2989,6.858,3.2004,7.1306,4.2581,6.5286,2.8842,6.5772,3.2938
26,8.5857,6.858,3.5052,7.2095,4.8052,7.4039,4.5624,7.2881,4.1271
27,8.8719,7.1628,3.81,7.5394,4.6553,6.5805,4.2683,6.9838,3.8776
28,9.2259,7.1628,3.81,8.14,5.5839,7.6148,4.2671,7.6367,4.0612
29,9.5631,7.4676,4.1148,7.4263,3.423,7.8224,3.6339,7.6628,3.9698
30,9.85,7.4676,4.1148,6.3556,3.1707,6.5154,3.7975,6.7437,3.654
31,10.1672,7.7724,4.1148,8.1802,4.5012,7.6643,4.3302,7.6698,4.0381
32,10.4566,7.7724,4.4196,7.9456,6.5805,8.1607,4.1721,8.1628,4.4042
33,10.7429,7.7724,4.7244,7.9595,4.3144,7.891,5.3693,8.0852,4.5962
34,11.0604,8.0772,4.7244,8.2481,5.9754,7.7277,5.1079,8.0796,4.8014
35,11.3785,8.0772,5.0292,7.7724,4.5437,8.4868,4.3351,8.2122,4.7652
36,11.7168,8.0772,5.334,8.0631,5.7586,8.0212,4.7984,8.1763,4.8956
37,12.0381,8.382,5.6388,8.4446,6.5861,8.8216,6.2448,8.9908,5.5992
38,12.3454,8.6868,5.6388,9.6088,5.7461,9.0572,5.8331,9.1846,5.6962
39,12.6719,8.6868,5.9436,8.3685,5.8636,8.5489,5.7723,8.6848,5.5677
40,12.996,8.6868,5.9436,8.6659,6.7169,9.4063,6.4634,9.1277,6.3613
41,13.3728,8.6868,6.2484,8.1944,6.7777,8.1825,6.495,8.507,6.2543
42,13.6949,8.6868,6.5532,9.1682,5.35,8.9606,5.5192,8.8359,5.8008
43,13.9835,8.6868,6.858,8.7053,6.9058,9.0161,6.9532,9.1049,6.3776
44,14.3106,8.6868,7.1628,9.1453,7.1381,9.3894,7.0742,9.2842,6.9392
45,14.5999,8.6868,7.1628,9.2624,6.5995,9.2936,7.2763,9.3852,6.8382
46,14.894,8.9916,7.1628,8.6599,6.7222,9.3309,6.6832,9.1827,6.8741
