Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY
0,0.0,0.1524,1.3716,0.4147,1.5912,0.0733,1.3648,0.1461,1.3436
1,0.3192,0.4572,1.3716,0.346,1.2431,0.4055,1.3063,0.2791,1.3678
2,0.6578,0.762,1.3716,0.7898,1.3922,0.7846,1.4072,0.5909,1.5057
3,0.9428,0.762,1.3716,0.7898,1.3922,0.7846,1.4072,0.7017,1.4786
4,1.226,1.0668,1.3716,1.2431,1.5479,1.0031,1.3932,0.894,1.4744
5,1.5102,1.3716,1.3716,1.6706,1.6972,1.338,1.4726,1.2098,1.5468
6,1.839,1.6764,1.3716,1.5759,1.3377,1.6941,1.4488,1.5351,1.579
7,2.1824,1.9812,1.3716,2.0138,1.4937,1.8812,1.4238,1.7649,1.5379
8,2.4701,1.9812,1.3716,2.0138,1.4937,1.8812,1.4238,1.8367,1.4789
9,2.7889,2.286,1.3716,2.4152,1.6365,2.1907,1.4974,2.1051,1.5287
10,3.0909,2.5908,1.3716,2.3217,1.2789,2.5214,1.4671,2.3989,1.5547
11,3.377,2.8956,1.3716,3.1277,1.5606,2.8711,1.4156,2.7354,1.5216
12,3.7278,3.2004,1.3716,3.4834,1.6824,3.1704,1.495,3.065,1.5329
13,4.0132,3.2004,1.3716,3.4834,1.6824,3.1704,1.495,3.1444,1.4929
14,4.456,3.81,1.6764,3.8286,1.8433,3.7214,1.792,3.6289,1.7037
15,4.7723,4.1148,1.6764,4.4596,1.9974,4.062,1.7496,3.9745,1.7475
16,5.0573,4.1148,1.6764,4.4596,1.9974,4.062,1.7496,4.0535,1.7232
17,5.3606,4.4196,1.6764,4.4569,1.736,4.3738,1.7367,4.3008,1.7423
18,5.7125,4.7244,1.9812,4.8286,2.2133,4.6092,2.0641,4.5947,1.9261
19,6.0318,5.0292,1.9812,5.0956,1.9731,4.9613,1.9292,4.8817,1.9463
20,6.3189,5.334,2.286,5.536,2.5759,5.3217,2.3751,5.2973,2.2113
21,6.6072,5.6388,2.5908,5.5836,2.4408,5.633,2.5943,5.5841,2.4321
22,6.9617,5.6388,2.5908,5.5836,2.4408,5.633,2.5943,5.6268,2.504
23,7.2823,5.9436,2.5908,5.8912,2.5662,5.926,2.6999,5.8662,2.6262
24,7.5708,6.2484,2.8956,6.1463,2.933,6.1748,2.9369,6.1325,2.8255
25,7.951,6.5532,2.8956,6.5136,2.8459,6.5096,2.9199,6.4281,2.909
26,8.272,6.858,3.2004,6.9805,3.2238,6.924,3.1574,6.8415,3.0946
27,8.6251,6.858,3.2004,6.9805,3.2238,6.924,3.1574,6.9218,3.1356
28,8.979,7.1628,3.5052,7.101,3.4843,7.1807,3.6019,7.1563,3.4158
29,9.3041,7.4676,3.81,7.438,3.6761,7.4719,3.7214,7.4211,3.6205
30,9.5921,7.7724,4.1148,7.7724,4.0091,7.8661,3.9991,7.7717,3.9047
31,9.9672,7.7724,4.1148,7.7724,4.0091,7.8661,3.9991,7.8286,3.9965
32,10.3196,8.0772,4.4196,8.1054,4.5554,8.0282,4.5443,8.0574,4.2905
33,10.6356,8.382,4.7244,8.2964,4.673,8.3007,4.6998,8.28,4.5348
34,10.9262,8.382,5.0292,8.4215,5.2162,8.3695,5.0206,8.4211,4.8233
35,11.2864,8.382,5.334,8.3469,5.0975,8.379,5.2117,8.4234,5.0394
36,11.6066,8.382,5.6388,8.3694,5.5647,8.4262,5.5579,8.4649,5.3707
37,11.9612,8.6868,5.9436,8.6322,5.7694,8.6232,5.9319,8.6256,5.6856
38,12.2606,8.6868,6.2484,8.6938,6.2539,8.6953,6.2391,8.7436,6.0069
39,12.5692,8.6868,6.5532,8.6667,6.7074,8.7448,6.5748,8.8043,6.3682
40,12.9157,8.9916,6.858,8.8994,6.9183,8.9421,6.9556,8.9705,6.692
41,13.2347,8.9916,7.1628,9.0497,7.1541,9.0374,7.1741,9.0659,6.9806
42,13.5561,8.9916,7.7724,9.0143,7.8488,8.9479,7.9025,9.1064,7.4794
43,13.9202,8.6868,8.0772,8.6781,8.0755,8.6813,8.1144,8.8773,7.8119
44,14.2454,8.6868,8.6868,8.6841,8.5345,8.6347,8.6784,8.8224,8.2468
45,14.5932,8.6868,8.9916,8.6949,8.9889,8.6864,9.0045,8.8169,8.6731
46,14.9341,8.6868,9.2964,8.6949,9.4437,8.7489,9.2768,8.8083,9.0457
47,15.2384,8.6868,9.6012,8.527,9.5193,8.5944,9.6394,8.7283,9.3135
48,15.5618,8.382,9.6012,8.4724,9.6298,8.3972,9.6903,8.5493,9.4522
49,15.9126,8.0772,9.906,8.0231,9.8985,8.1056,9.9113,8.2892,9.6486
50,16.2006,8.0772,9.906,8.0231,9.8985,8.1056,9.9113,8.187,9.7596
51,16.521,7.7724,10.2108,7.7724,10.2308,7.8094,10.167,7.9619,9.9788
52,16.8174,7.7724,10.5156,7.7724,10.4598,7.7708,10.4685,7.8878,10.2338
53,17.1213,7.7724,10.8204,7.7724,10.8916,7.8252,10.7832,7.8878,10.5945
54,17.4896,7.7724,11.1252,7.7724,11.2341,7.7942,11.261,7.901,10.9098
55,17.7762,7.7724,11.1252,7.7724,11.2341,7.7942,11.261,7.8693,11.0453
56,18.1021,7.4676,11.1252,7.5099,11.0803,7.4341,11.1921,7.6056,11.0194
57,18.4027,7.1628,11.43,6.9461,11.5767,7.0622,11.5301,7.2984,11.2194
58,18.7594,7.1628,11.43,6.9461,11.5767,7.0622,11.5301,7.1767,11.3367
59,19.0474,6.858,11.7348,6.9507,11.7869,6.9764,11.7102,7.0476,11.5548
60,19.4039,6.858,11.7348,6.9507,11.7869,6.9764,11.7102,6.9803,11.6628
61,19.777,6.5532,12.0396,6.6857,11.8557,6.5341,12.018,6.7527,11.8004
62,20.0665,6.5532,12.0396,6.6857,11.8557,6.5341,12.018,6.6625,11.8833
63,20.4209,6.2484,12.3444,6.0532,12.3891,6.1483,12.307,6.3663,12.0628
64,20.7686,5.9436,12.6492,6.055,12.5173,6.0695,12.4597,6.1638,12.3282
65,21.1235,5.9436,12.6492,6.055,12.5173,6.0695,12.4597,6.0653,12.4633
66,21.5337,5.6388,12.954,5.4227,12.9693,5.494,12.9241,5.7878,12.6179
67,21.8248,5.334,12.954,5.4758,12.7273,5.3051,12.8888,5.5307,12.7292
68,22.1118,5.334,12.954,5.4758,12.7273,5.3051,12.8888,5.4303,12.8018
69,22.4972,4.7244,13.2588,4.8274,13.0284,4.6954,13.1321,4.976,12.9813
70,22.8516,4.7244,13.2588,4.8274,13.0284,4.6954,13.1321,4.7968,13.0993
71,23.1733,4.4196,13.2588,4.4885,13.1693,4.4023,13.219,4.5362,13.1904
72,23.5384,3.81,13.5636,3.7739,13.4764,3.8003,13.3916,4.0625,13.2982
73,23.8294,3.81,13.5636,3.7739,13.4764,3.8003,13.3916,3.8796,13.3839
74,24.1482,3.5052,13.5636,3.3951,13.6427,3.4901,13.4786,3.617,13.4531
75,24.4692,3.2004,13.5636,3.5681,13.1562,3.3248,13.3768,3.3595,13.5155
76,24.773,2.8956,13.8684,3.0589,13.7397,3.1326,13.6276,3.1224,13.7244
77,25.0704,2.5908,13.8684,2.1709,14.1703,2.5127,13.7506,2.7388,13.6947
78,25.4266,2.286,13.8684,2.3815,13.6547,2.3534,13.6286,2.4379,13.7232
79,25.788,1.9812,13.8684,1.9572,13.8272,2.0098,13.7194,2.1274,13.7681
80,26.1076,1.9812,13.8684,1.9572,13.8272,2.0098,13.7194,2.0025,13.8094
81,26.4287,1.6764,13.8684,1.4869,14.0338,1.6663,13.799,1.8088,13.7666
82,26.7413,1.3716,13.8684,1.6963,13.5485,1.5158,13.6564,1.5731,13.7763
83,27.0545,1.0668,13.8684,1.2511,13.7178,1.1461,13.7549,1.2804,13.8096
84,27.3433,1.0668,13.8684,1.2511,13.7178,1.1461,13.7549,1.1568,13.8461
85,27.6413,0.762,13.8684,0.7744,13.9027,0.7675,13.8515,0.9529,13.8074
86,27.938,0.4572,13.8684,0.3138,14.062,0.3638,13.9658,0.6657,13.8308
87,28.2239,0.4572,13.8684,0.3138,14.062,0.3638,13.9658,0.5354,13.8696
88,28.5089,0.1524,13.8684,0.493,13.6226,0.2275,13.7916,0.3492,13.8475
89,28.8022,0.1524,13.5636,0.1098,13.6947,0.3061,13.4677,0.2369,13.6714
90,29.1426,0.1524,13.5636,0.1098,13.6947,0.3061,13.4677,0.2012,13.626
91,29.4459,0.1524,13.8684,0.493,13.6226,0.2275,13.7916,0.2182,13.8044
92,29.8141,0.4572,13.8684,0.3138,14.062,0.3638,13.9658,0.334,13.9043
93,30.1011,0.762,13.8684,0.7744,13.9027,0.7675,13.8515,0.5941,13.8891
94,30.481,1.0668,13.8684,1.2511,13.7178,1.1461,13.7549,0.8719,13.9157
95,30.7695,1.3716,13.8684,1.6963,13.5485,1.5158,13.6564,1.1898,13.8922
96,31.0913,1.9812,13.8684,1.9572,13.8272,2.0098,13.7194,1.6351,13.9153
97,31.4699,2.5908,13.8684,2.1709,14.1703,2.5127,13.7506,2.1641,13.884
98,31.8221,3.2004,13.8684,3.4444,13.5767,3.4459,13.547,2.8402,13.966
99,32.1433,3.5052,13.8684,3.2658,14.0661,3.3213,13.9391,3.1982,13.9301
100,32.5028,4.1148,13.8684,4.4278,13.5143,4.2137,13.736,3.7959,14.0076
101,32.8601,4.7244,13.8684,4.6708,13.7672,4.6896,13.722,4.3461,13.9602
102,33.2871,5.6388,13.2588,5.3398,13.435,5.5654,13.1778,5.0564,13.6902
103,33.7779,6.5532,12.954,6.6084,12.8922,6.6332,12.8578,6.0212,13.4711
104,34.0684,6.858,12.954,6.9125,12.8255,6.862,12.8389,6.5029,13.2974
105,34.3915,7.1628,12.954,7.1897,13.0274,7.2384,12.9192,6.921,13.2699
106,34.7682,7.7724,12.954,7.7724,12.9896,7.7109,13.0515,7.4426,13.2832
107,35.1102,8.382,12.954,8.3554,13.0051,8.3467,13.0054,8.0314,13.2929
108,35.4363,8.9916,12.954,8.9424,12.998,8.9785,12.9184,8.6102,13.2451
109,35.7803,9.2964,12.954,9.2221,12.8251,9.2341,12.7896,8.976,13.1053
110,36.1016,9.906,12.954,10.0283,12.8741,10.0163,12.8242,9.6274,13.1518
111,36.425,10.2108,12.954,10.1615,13.0116,10.0992,13.0881,9.957,13.1113
112,36.8003,10.8204,12.954,10.9516,13.0475,10.8827,13.106,10.5872,13.194
113,37.1494,11.43,12.954,11.432,13.1254,11.4507,13.0911,11.1567,13.2187
114,37.4695,12.0396,12.954,12.045,12.9917,12.0631,12.9682,11.7482,13.1884
115,37.8639,12.6492,12.954,12.6735,13.1643,12.668,13.1514,12.3576,13.221
116,38.1868,13.2588,12.954,13.2801,12.9997,13.2767,13.0028,12.9626,13.1841
117,38.5632,13.8684,12.954,13.8819,13.1373,13.8872,13.1641,13.5853,13.2052
118,38.9186,14.478,12.954,14.4524,13.0544,14.4577,13.0629,14.1478,13.1504
