Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
0,0.0,14.478,5.9436,14.4887,5.991,14.5043,5.9641,14.515,5.9612,0.0486,0.0333,0.041,0.1231,0.0909,0.1974
1,0.3308,14.478,5.9436,14.4887,5.991,14.5043,5.9641,14.5272,5.9258,0.0486,0.0333,0.0523,0.1231,0.0909,0.1974
2,0.6102,14.7828,5.9436,14.8454,5.9596,14.8388,5.9559,14.7665,5.9314,0.0646,0.0573,0.0204,0.1231,0.0909,0.1974
3,0.9196,15.0876,5.9436,15.0415,5.9277,15.0034,5.9322,14.9322,5.9192,0.0487,0.085,0.1573,0.1231,0.0909,0.1974
4,1.2008,15.3924,6.2484,15.3899,6.2565,15.434,6.2097,15.2921,6.131,0.0085,0.0569,0.1544,0.1231,0.0909,0.1974
5,1.5595,15.6972,6.5532,15.7118,6.5731,15.6726,6.5988,15.5785,6.4138,0.0247,0.0518,0.1831,0.1231,0.0909,0.1974
6,1.9187,15.6972,6.5532,15.7118,6.5731,15.6726,6.5988,15.6476,6.5147,0.0247,0.0518,0.0628,0.1231,0.0909,0.1974
7,2.26,16.002,6.858,16.0419,6.5619,15.9939,6.6745,15.8775,6.6772,0.2988,0.1837,0.2196,0.1231,0.0909,0.1974
8,2.5734,16.002,7.1628,16.0273,7.2673,16.0234,7.2539,16.0216,6.9937,0.1075,0.0936,0.1702,0.1231,0.0909,0.1974
9,2.8617,16.002,7.4676,16.025,7.2677,16.0045,7.3299,16.0218,7.2195,0.2012,0.1377,0.2489,0.1231,0.0909,0.1974
10,3.1459,16.002,7.7724,16.0249,7.9723,16.0371,7.9068,16.0882,7.5804,0.2012,0.1389,0.2104,0.1231,0.0909,0.1974
11,3.4573,16.002,8.0772,16.0271,7.9727,16.0171,7.982,16.0603,7.8288,0.1074,0.0964,0.2551,0.1231,0.0909,0.1974
12,3.77,16.002,8.0772,16.0271,7.9727,16.0171,7.982,16.0338,7.9358,0.1074,0.0964,0.1449,0.1231,0.0909,0.1974
13,4.1164,15.6972,8.382,15.7006,8.6624,15.7068,8.5514,15.8589,8.2184,0.2805,0.1697,0.23,0.1231,0.0909,0.1974
14,4.4545,15.6972,8.6868,15.706,8.6663,15.6852,8.6264,15.7588,8.448,0.0223,0.0615,0.2466,0.1231,0.0909,0.1974
15,4.7959,15.3924,8.9916,15.4054,8.9883,15.4133,9.0242,15.5615,8.7416,0.0134,0.0387,0.3018,0.1231,0.0909,0.1974
16,5.0788,15.0876,9.2964,15.0338,9.3102,14.9991,9.2956,15.2059,9.0513,0.0555,0.0885,0.2722,0.1231,0.0909,0.1974
17,5.4142,14.7828,9.2964,14.8544,9.2812,14.8355,9.2879,14.9683,9.2047,0.0732,0.0533,0.2069,0.1231,0.0909,0.1974
18,5.6938,14.478,9.2964,14.5033,9.2506,14.4886,9.2801,14.6426,9.2541,0.0523,0.0194,0.1699,0.1231,0.0909,0.1974
19,6.0046,14.478,9.2964,14.5033,9.2506,14.4886,9.2801,14.5367,9.3001,0.0523,0.0194,0.0589,0.1231,0.0909,0.1974
20,6.3154,14.1732,9.2964,14.1486,9.2183,14.1423,9.2731,14.2617,9.2973,0.0819,0.0387,0.0885,0.1231,0.0909,0.1974
21,6.6256,13.8684,9.2964,13.8241,9.1902,13.7965,9.2668,13.9387,9.2891,0.115,0.0777,0.0707,0.1231,0.0909,0.1974
22,6.9074,13.5636,9.2964,13.6621,9.2002,13.6157,9.2348,13.6915,9.221,0.1377,0.0807,0.1485,0.1231,0.0909,0.1974
23,7.2199,13.2588,8.9916,13.2037,9.121,13.2441,9.0617,13.3673,9.0702,0.1407,0.0716,0.134,0.1231,0.0909,0.1974
24,7.5485,12.954,8.6868,12.9745,8.5212,12.9401,8.5944,13.0173,8.7698,0.1668,0.0935,0.1044,0.1231,0.0909,0.1974
25,7.8671,12.6492,8.382,12.6469,8.4949,12.6245,8.517,12.7312,8.5562,0.1129,0.1372,0.1926,0.1231,0.0909,0.1974
26,8.1494,12.6492,8.382,12.6469,8.4949,12.6245,8.517,12.665,8.4931,0.1129,0.1372,0.1122,0.1231,0.0909,0.1974
27,8.4926,12.3444,8.0772,12.3932,8.1872,12.4097,8.1173,12.4746,8.2606,0.1203,0.0766,0.2249,0.1231,0.0909,0.1974
28,8.831,12.3444,7.4676,12.3059,7.3364,12.2907,7.3549,12.2738,7.7478,0.1367,0.1248,0.289,0.1231,0.0909,0.1974
29,9.1132,12.3444,7.1628,12.3932,7.0525,12.3575,7.1361,12.303,7.4042,0.1206,0.0297,0.2449,0.1231,0.0909,0.1974
30,9.3993,12.6492,6.858,12.6439,6.7457,12.6352,6.7283,12.4817,7.0706,0.1125,0.1304,0.2707,0.1231,0.0909,0.1974
31,9.7761,12.954,6.5532,12.9696,6.7189,12.9887,6.643,12.8132,6.8425,0.1665,0.0963,0.3217,0.1231,0.0909,0.1974
32,10.1262,12.954,6.2484,12.8829,6.1425,12.8703,6.1849,12.8013,6.4781,0.1276,0.1051,0.2758,0.1231,0.0909,0.1974
33,10.4421,13.2588,6.2484,13.212,6.1106,13.2027,6.1719,13.0518,6.3492,0.1456,0.0948,0.2302,0.1231,0.0909,0.1974
34,10.7837,13.5636,5.9436,13.6553,6.0397,13.656,5.9896,13.4368,6.1794,0.1328,0.1032,0.2677,0.1231,0.0909,0.1974
35,11.136,14.1732,5.9436,14.1627,6.0181,14.1706,5.9731,13.9652,6.0771,0.0752,0.0296,0.2472,0.1231,0.0909,0.1974
36,11.4181,14.478,5.9436,14.4887,5.991,14.5043,5.9641,14.357,6.0156,0.0486,0.0333,0.1408,0.1231,0.0909,0.1974
37,11.7311,14.478,5.9436,14.4887,5.991,14.5043,5.9641,14.4769,5.9605,0.0486,0.0333,0.0169,0.1231,0.0909,0.1974
