Sample_idx,sample_time,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr
0,0.0,14.478,7.7724,14.4938,7.62,14.4909,7.6634,14.5211,7.6549,0.1532,0.1097,0.1251
1,0.3706,14.478,7.1628,14.4936,6.9761,14.4861,7.0328,14.454,7.3321,0.1873,0.1303,0.171
2,0.6853,14.478,6.5532,14.4885,6.3326,14.4813,6.3981,14.4032,6.8418,0.2208,0.1551,0.2981
3,1.0462,14.478,5.9436,14.4887,5.991,14.5043,5.9641,14.4326,6.3092,0.0486,0.0333,0.3684
4,1.3292,14.478,5.9436,14.4887,5.991,14.5043,5.9641,14.4783,6.0804,0.0486,0.0333,0.1368
5,1.6134,14.478,5.9436,14.4887,5.991,14.5043,5.9641,14.5079,5.9794,0.0486,0.0333,0.0466
6,1.8974,14.7828,5.9436,14.8454,5.9596,14.8388,5.9559,14.757,5.9557,0.0646,0.0573,0.0285
7,2.2114,14.7828,5.9436,14.8454,5.9596,14.8388,5.9559,14.8323,5.9277,0.0646,0.0573,0.052
8,2.641,15.0876,6.2484,15.0226,6.2971,15.1099,6.1926,15.0595,6.078,0.0812,0.0601,0.1727
9,2.9236,15.3924,6.2484,15.3899,6.2565,15.434,6.2097,15.3199,6.1899,0.0085,0.0569,0.0932
10,3.2327,15.6972,6.5532,15.7118,6.5731,15.6726,6.5988,15.5831,6.437,0.0247,0.0518,0.1628
11,3.5169,15.6972,6.5532,15.7118,6.5731,15.6726,6.5988,15.6474,6.5243,0.0247,0.0518,0.0576
12,3.811,16.002,6.858,16.0419,6.5619,15.9939,6.6745,15.8767,6.6813,0.2988,0.1837,0.2166
13,4.1321,16.002,7.1628,16.0273,7.2673,16.0234,7.2539,16.021,6.9955,0.1075,0.0936,0.1684
14,4.447,16.002,7.4676,16.025,7.2677,16.0045,7.3299,16.0216,7.2203,0.2012,0.1377,0.2481
15,4.7628,16.002,7.7724,16.0249,7.9723,16.0371,7.9068,16.088,7.5808,0.2012,0.1389,0.2101
16,5.0802,16.002,8.0772,16.0271,7.9727,16.0171,7.982,16.0602,7.829,0.1074,0.0964,0.255
17,5.3969,15.6972,8.382,15.7006,8.6624,15.7068,8.5514,15.875,8.1719,0.2805,0.1697,0.2752
18,5.7446,15.6972,8.6868,15.706,8.6663,15.6852,8.6264,15.7673,8.4275,0.0223,0.0615,0.2686
19,6.0637,15.6972,8.6868,15.706,8.6663,15.6852,8.6264,15.7146,8.5419,0.0223,0.0615,0.146
20,6.4086,15.3924,8.9916,15.4054,8.9883,15.4133,9.0242,15.5407,8.7835,0.0134,0.0387,0.2555
21,6.6928,15.0876,8.9916,15.0458,8.9548,15.0639,9.054,15.2333,8.9279,0.0557,0.0667,0.159
22,7.0444,14.7828,9.2964,14.8544,9.2812,14.8355,9.2879,14.9863,9.1516,0.0732,0.0533,0.2497
23,7.4064,14.7828,9.2964,14.8544,9.2812,14.8355,9.2879,14.8915,9.2628,0.0732,0.0533,0.1138
24,7.7213,14.478,9.2964,14.5033,9.2506,14.4886,9.2801,14.6141,9.2843,0.0523,0.0194,0.1366
25,8.0544,13.8684,9.2964,13.8241,9.1902,13.7965,9.2668,14.0483,9.2536,0.115,0.0777,0.1849
26,8.3705,13.5636,9.2964,13.6621,9.2002,13.6157,9.2348,13.7284,9.1966,0.1377,0.0807,0.1926
27,8.7101,13.2588,8.9916,13.2037,9.121,13.2441,9.0617,13.3806,9.0567,0.1407,0.0716,0.1381
28,9.0252,13.2588,8.6868,13.3144,8.5417,13.2816,8.596,13.2569,8.7887,0.1554,0.0936,0.1019
29,9.4016,12.6492,8.382,12.6469,8.4949,12.6245,8.517,12.8009,8.5427,0.1129,0.1372,0.221
30,9.7453,12.3444,8.0772,12.3932,8.1872,12.4097,8.1173,12.5093,8.2691,0.1203,0.0766,0.253
31,10.0306,12.3444,8.0772,12.3932,8.1872,12.4097,8.1173,12.4489,8.1811,0.1203,0.0766,0.1474
32,10.3481,12.3444,7.7724,12.3059,7.9036,12.3003,7.8963,12.3426,7.9799,0.1367,0.1315,0.2075
33,10.6671,12.6492,7.7724,12.636,7.9109,12.6378,7.8944,12.5574,7.9291,0.1392,0.1225,0.1816
34,10.9863,12.6492,7.1628,12.6325,7.3285,12.6481,7.2735,12.582,7.5307,0.1665,0.1107,0.374
35,11.3535,12.6492,6.858,12.6439,6.7457,12.6352,6.7283,12.5508,7.1002,0.1125,0.1304,0.2614
36,11.6703,12.6492,6.5532,12.6331,6.7399,12.6559,6.6513,12.6041,6.8261,0.1874,0.0983,0.2766
37,12.0162,12.954,6.2484,12.8829,6.1425,12.8703,6.1849,12.7436,6.488,0.1276,0.1051,0.3188
38,12.4352,13.5636,5.9436,13.6553,6.0397,13.656,5.9896,13.3376,6.2626,0.1328,0.1032,0.3909
39,12.7232,13.8684,5.9436,13.8318,6.0468,13.8376,5.9827,13.7025,6.0974,0.1095,0.0498,0.2262
40,13.0974,14.1732,5.6388,14.162,5.6712,14.1657,5.6301,13.9969,5.8341,0.0343,0.0115,0.2631
41,13.4255,14.1732,5.0292,14.3256,5.0041,14.3303,4.991,14.1812,5.3586,0.1545,0.1617,0.3295
42,13.8073,14.1732,4.4196,14.1686,4.3752,14.1609,4.3603,14.1119,4.7781,0.0446,0.0606,0.3637
43,14.1334,14.1732,3.81,14.1697,3.6769,14.1577,3.6778,14.0654,4.1731,0.1331,0.1331,0.3787
