FOR PULSE,DIRECT DIFFERENCE IN TIMESTAMP OF RECEPTION (Nanosec) 
1,-84
2,-45
3,-6
4,-77
5,-40
6,-3
7,-74
8,-35
9,-107
10,-69
11,-32
12,-102
13,-65
14,-26
15,-99
16,-61
17,-22
18,-94
19,-55
20,-18
21,-89
22,-51
23,-12
24,-85
25,-46
26,-9
27,-80
28,-41
29,-4
30,-75
31,-37
32,-109
33,-70
34,-32
35,-105
36,-66
37,-28
38,-99
39,-62
40,-18
41,-95
42,-52
43,-19
44,-91
45,-52
46,-14
47,-86
48,-47
49,-10
50,-82
51,-42
52,-3
53,-77
54,-38
55,-106
56,-184
57,-33
58,-106
59,-68
60,-29
61,-103
62,-64
63,-24
64,-97
65,-59
66,-19
67,-92
68,-15
69,-84
70,-49
71,0
72,0
73,-45
74,-5
75,-79
76,-39
77,-75
78,-30
79,-109
80,-70
81,-30
82,-105
83,-65
84,-25
85,-100
86,-60
87,-20
88,-95
89,-51
90,-17
91,-90
92,-51
93,-5
94,-86
95,-42
96,-7
97,-76
98,-37
99,4
100,-77
101,-36
102,-111
103,-72
104,-32
105,-108
106,-67
107,-26
108,-96
109,-57
110,-17
111,-92
112,-52
113,-12
114,-87
115,-48
116,-12
117,-88
118,-47
119,-2
120,-79
121,-37
122,-1
123,-73
124,-37
125,-109
126,-67
127,-33
128,-105
129,-63
130,-22
131,-99
132,-58
133,-19
134,-94
135,-59
136,-18
137,-89
138,-49
139,-9
140,-85
141,-48
142,-3
143,-85
144,-38
145,2
146,-74
147,-39
148,-110
149,-70
150,-29
151,-111
152,-66
153,-24
154,-101
155,-61
156,-19
157,-101
158,-56
159,-14
160,-91
161,-50
162,-9
163,-86
164,-49
165,-4
166,-82
167,-40
168,1
169,-76
170,-35
171,-113
172,-191
173,-30
174,-112
175,-67
176,-25
177,-104
178,-66
179,-21
180,-103
181,-57
182,-139
183,-213
184,-57
185,-11
186,-89
187,-47
188,-10
189,-83
190,-41
191,0
192,-36
193,-115
194,-193
195,-32
196,-110
197,-68
198,-26
199,-105
200,-64
201,-21
202,-100
203,-59
204,-17
205,-95
206,-11
207,-90
208,-48
209,-6
210,-85
211,-43
212,-1
213,-86
214,-38
215,-1
216,-76
217,-38
218,-113
219,-69
220,-27
221,-107
222,-65
223,-22
224,-102
225,-61
226,-17
227,-59
228,-12
229,-92
230,-50
231,-7
232,-87
233,-49
234,-7
235,-83
236,-44
237,3
238,-82
239,-34
240,-115
241,-72
242,-35
243,-110
244,-72
245,-23
246,-103
247,-62
248,-19
249,-104
250,-61
251,-18
252,-98
253,-56
254,0
255,0
256,-51
257,-7
258,-89
259,-41
260,0
261,-81
262,-40
263,-121
264,-73
265,-29
266,-111
267,-74
268,-29
269,-110
270,-68
271,-25
272,-106
273,-62
274,-20
275,-100
276,-57
277,-15
278,-95
279,-52
280,-9
281,-90
282,-47
283,-4
284,-85
285,-43
286,-124
287,-80
288,-36
289,-118
290,-75
291,-32
292,-115
293,-70
294,-26
295,-108
296,-65
297,-21
298,-103
299,-60
300,-16
301,-98
302,-55
303,-10
304,-92
305,-48
306,-5
307,-88
308,-43
309,-125
310,-208
311,-38
